Strike,Moneyness,Bid,Mid,Ask,Last,Change,%Chg,Volume,"Open Int","OI Chg",Delta,IV,Type,"Last Trade"
190.00,+19.78%,55.50,56.95,58.40,55.95,unch,unch,1,0,unch,0.87506,27.33%,Call,01/10/25
195.00,+17.67%,52.15,52.93,53.70,0.00,unch,unch,0,0,unch,0.83986,29.16%,Call,N/A
200.00,+15.56%,48.20,49.18,50.15,48.25,+48.25,unch,2,4,unch,0.82657,27.28%,Call,01/10/25
205.00,+13.45%,42.70,44.50,46.30,0.00,unch,unch,0,0,unch,0.80064,27.03%,Call,N/A
210.00,+11.34%,40.50,41.25,42.00,40.50,-0.80,-1.94%,4,0,unch,0.77645,26.15%,Call,01/10/25
215.00,+9.23%,36.95,37.93,38.90,41.32,unch,unch,0,2,+1,0.73906,27.28%,Call,01/08/25
220.00,+7.11%,33.60,34.45,35.30,33.80,-4.35,-11.40%,5,176,+156,0.71315,25.83%,Call,01/10/25
225.00,+5.00%,28.60,30.35,32.10,29.85,unch,unch,1,0,unch,0.68336,24.51%,Call,01/10/25
230.00,+2.89%,25.60,27.28,28.95,26.94,+0.37,+1.39%,6,4,unch,0.64645,24.41%,Call,01/10/25
235.00,+0.78%,22.80,24.38,25.95,24.75,-1.50,-5.71%,23,6,unch,0.60796,24.99%,Call,01/10/25
240.00,-1.33%,19.60,20.88,22.15,21.90,-2.66,-10.83%,38,4,+3,0.57038,24.49%,Call,01/10/25
245.00,-3.44%,17.00,18.88,20.75,19.00,-0.56,-2.86%,80,8,unch,0.53082,23.71%,Call,01/10/25
250.00,-5.55%,14.65,16.50,18.35,16.98,-2.95,-14.80%,34,17,+5,0.49239,23.79%,Call,01/10/25
255.00,-7.66%,13.40,15.15,16.90,14.40,-2.50,-14.79%,20,7,+6,0.45014,22.96%,Call,01/10/25
260.00,-9.77%,11.40,12.30,13.20,12.43,-2.52,-16.86%,65,153,+1,0.41002,22.65%,Call,01/10/25
265.00,-11.89%,8.70,10.08,11.45,10.65,-2.40,-18.39%,25,14,+13,0.37054,22.35%,Call,01/10/25
270.00,-14.00%,7.30,8.60,9.90,9.15,-2.05,-18.30%,9,34,+30,0.33342,22.19%,Call,01/10/25
275.00,-16.11%,5.70,7.63,9.55,7.85,-1.70,-17.80%,16,28,+26,0.29855,22.07%,Call,01/10/25
280.00,-18.22%,6.60,7.48,8.35,6.58,+6.58,unch,10,10,unch,0.27899,23.09%,Call,01/10/25
285.00,-20.33%,5.55,5.93,6.30,7.16,unch,unch,0,8,unch,0.23970,22.22%,Call,01/07/25
190.00,-19.78%,4.05,4.30,4.55,4.41,+0.54,+13.95%,3,25,+8,-0.13337,28.53%,Put,01/10/25
195.00,-17.67%,4.70,5.05,5.40,5.35,+0.90,+20.22%,265,74,+74,-0.15653,28.37%,Put,01/10/25
200.00,-15.56%,5.60,5.93,6.25,6.00,+0.96,+19.05%,457,458,+458,-0.17658,27.42%,Put,01/10/25
205.00,-13.45%,6.50,6.85,7.20,6.98,+6.98,unch,22,0,unch,-0.20194,26.90%,Put,01/10/25
210.00,-11.34%,7.60,7.95,8.30,8.35,+0.20,+2.45%,46,0,unch,-0.22856,26.18%,Put,01/10/25
215.00,-9.23%,7.65,8.63,9.60,9.30,+9.30,unch,9,0,unch,-0.26050,25.85%,Put,01/10/25
220.00,-7.11%,10.30,10.65,11.00,10.41,+1.47,+16.44%,66,22,+2,-0.29198,24.95%,Put,01/10/25
225.00,-5.00%,11.80,12.20,12.60,13.10,+2.86,+27.93%,83,1,+1,-0.32899,24.79%,Put,01/10/25
230.00,-2.89%,12.55,13.45,14.35,13.95,+1.85,+15.29%,79,497,+445,-0.36783,24.33%,Put,01/10/25
235.00,-0.78%,14.15,15.25,16.35,15.90,+1.65,+11.58%,56,8,+7,-0.40834,23.89%,Put,01/10/25
240.00,+1.33%,16.25,17.40,18.55,18.35,+2.40,+15.05%,52,57,+57,-0.45171,23.82%,Put,01/10/25
245.00,+3.44%,18.60,19.80,21.00,20.30,+2.35,+13.09%,1,88,+86,-0.49819,22.87%,Put,01/10/25
250.00,+5.55%,21.15,22.42,23.70,25.00,+4.50,+21.95%,4,25,+25,-0.55373,21.86%,Put,01/10/25
255.00,+7.66%,24.00,25.33,26.65,0.00,unch,unch,0,0,unch,-0.60153,21.49%,Put,N/A
260.00,+9.77%,28.45,29.55,30.65,0.00,unch,unch,0,0,unch,-0.63427,22.61%,Put,N/A
265.00,+11.89%,32.05,33.05,34.05,0.00,unch,unch,0,0,unch,-0.68912,22.49%,Put,N/A
270.00,+14.00%,35.30,36.33,37.35,0.00,unch,unch,0,0,unch,-0.73278,21.71%,Put,N/A
275.00,+16.11%,38.25,40.03,41.80,0.00,unch,unch,0,0,unch,-0.79705,21.11%,Put,N/A
280.00,+18.22%,43.40,44.30,45.20,0.00,unch,unch,0,0,unch,-0.84992,21.13%,Put,N/A
285.00,+20.33%,47.75,49.18,50.60,0.00,unch,unch,0,0,unch,-0.86009,22.26%,Put,N/A
"Downloaded from Barchart.com as of 01-13-2025 01:58am CST"
